Year,Region,Drought_gdp,Extreme temperature_gdp,Flood_gdp,Storm_gdp,Wildfire_gdp,Drought_affected,Extreme temperature_affected,Flood_affected,Storm_affected,Wildfire_affected,Drought_deaths,Extreme temperature_deaths,Flood_deaths,Storm_deaths,Wildfire_deaths,Greenhouse gas emissions,Yearly average,Yearly anomaly average,Period,Total_Deaths,Total_Affected,Total_GDP_Loss
1991,North America,0.008642192242833052,0.0,0.005709673974142777,0.019809072512647553,0.01670176503653738,0,0,800422,13000,300,0,0,76,100,28,18.695707,25.24922583333333,-0.46360017408333337,1975-1999,204,813722,0.05086270376616077
1991,Oceania,0.05098062704726252,0.0,0.0,0.03013139915769771,0.0,0,0,128,94408,0,0,0,0,13,0,23.483349,24.477434333333335,-0.4022498888750001,1975-1999,13,94536,0.08111202620496023
1991,South America,0.010358848662019339,0.0,0.000103597931189566,0.0,0.0,0,0,18500,0,0,0,25,20,0,0,11.023322,20.223035958333334,-0.40337753249999997,1975-1999,45,18500,0.010462446593208906
1992,Africa,0.0,0.0,6.57946370176586e-05,0.0,0.0,7431500,0,2258,0,0,0,18,21,0,0,4.169275,24.106242750000003,-0.6930775625000001,1975-1999,39,7433758,6.57946370176586e-05
1992,Asia,0.0,0.00503413055845264,0.03228877879965867,0.009021961221200341,3.285531430738599e-05,12000000,0,18864717,18130190,50000,0,290,4990,1174,56,3.8968604,18.441008166666666,-0.9586110066666667,1975-1999,6510,49044907,0.046377725893619035
1992,Europe,0.008953762172726355,0.0,0.005875765744515955,0.0030252653570104794,0.0,0,0,49530,3000,0,0,0,23,48,66,12.768159,9.311393133333334,-0.6174437362499999,1975-1999,137,52530,0.017854793274252788
1992,North America,0.0,0.013056582349634626,0.0012729229904440698,0.21842442945474985,0.0018535553681843732,1000000,16000,17927,306805,2190,0,80,23,116,0,18.724602,25.03850375,-1.0226675808333334,1975-1999,219,1342922,0.23460749016301294
1992,Oceania,0.1569194197473093,0.0,0.0,0.07648254562470753,0.0,7000000,0,90000,8822,0,0,0,0,6,0,24.908895,24.33126216666667,-0.8707289600000001,1975-1999,6,7098822,0.23340196537201685
1992,South America,0.012567910951203059,0.0,0.037995300202383626,0.0,0.006032583764335507,1100000,0,580892,38000,0,0,0,178,0,0,11.220126,19.992565833333334,-0.5465626733333334,1975-1999,178,1718892,0.05659579491792219
1993,Africa,0.0,0.0,0.0002634401569653368,0.00036677567037279266,0.0,2346507,0,284705,17397,0,0,0,111,24,0,4.1921844,24.20815075,-0.4062474569166667,1975-1999,135,2648609,0.0006302158273381295
1993,Asia,0.0,0.0,0.08854331326443539,0.02255169242438608,0.0,1175000,0,147067006,13571651,0,0,0,4901,2454,0,3.8856943,19.451965416666667,-0.7324899378833334,1975-1999,7355,161813657,0.11109500568882147
1993,Europe,0.0,0.0,0.013741436128988779,0.01490748391009873,0.0,10000,260,505353,788420,0,0,41,165,38,0,12.156388,8.782339075000001,-1.1575417783333333,1975-1999,244,1304033,0.02864892003908751
1993,North America,0.0,0.0,0.07720894041596403,0.04758894041596402,0.0061031028667790895,0,0,1027670,353385,130,0,48,688,373,3,18.617771,25.06844225,-0.7737019366666668,1975-1999,1112,1381185,0.13090098369870715
1993,Oceania,0.0,0.0,0.0007214787084698175,0.010923444080486663,0.0,0,3000500,74530,312768,0,0,17,1,44,0,24.933792,24.066477791666667,-0.6551610563333333,1975-1999,62,3387798,0.01164492278895648
1993,South America,0.0,0.0,0.0549829323139195,0.002661254778502361,0.0,0,0,302559,15900,0,0,0,252,115,0,11.2424345,20.099864708333335,-0.3677283916666667,1975-1999,367,318459,0.05764418709242186
1994,Africa,0.0,0.0,0.0146797580117724,0.010076291693917593,0.0,1200000,0,1166881,3048851,0,0,0,1085,490,22,4.550879,24.19417925,-0.5117719958333333,1975-1999,1597,5415732,0.024756049705689995
1994,Asia,0.06950268322745805,0.0,0.042571278562624444,0.014910749502228121,0.0,93690000,8000,127583530,29377366,3000000,0,294,5117,2383,0,4.0344763,19.980300291666666,-0.4967378683333334,1975-1999,7794,253658896,0.12698471129231062
1994,Europe,0.0,0.0,0.0788074266266806,0.00799398861070863,0.0,0,0,842178,31148,16820,0,42,209,45,21,11.447216,9.750026553333333,-0.5393967770833333,1975-1999,317,890146,0.08680141523738923
1994,North America,0.00023792017987633502,0.0,0.004181453063518831,0.005983507588532884,1.1897133220910625e-05,75000,0,71326,1721362,4432,0,0,212,1297,13,18.893625,25.211718833333332,-0.46518973466666674,1975-1999,1522,1872120,0.01041477796514896
1994,Oceania,0.009903135236312588,0.0,0.0,0.007684838558727188,0.014854702854468882,0,1100184,157,2860414,46161,0,5,0,27,4,23.885948,24.013189041666664,-0.4668715795,1975-1999,36,4006916,0.03244267664950866
1994,South America,0.0,0.022604992129525523,0.002379469305149539,0.003331257027209355,0.0,50000,0,119099,1000,0,0,0,148,0,24,12.568064,20.289631625,-0.18673833358333333,1975-1999,172,170099,0.028315718461884416
1995,Africa,0.0,0.0,0.005203629823413996,0.0,0.0,1811994,0,1269725,2775,85,0,32,1246,0,0,4.545558,24.30834,-0.25713062187499997,1975-1999,1278,3084579,0.005203629823413996
1995,Asia,6.245614866786763e-05,0.0,0.11514134588034512,0.010579349578079074,0.00021957665686925192,9060000,0,189869107,13259091,3240,0,678,6421,3162,29,4.0442667,19.567993333333334,0.05295558491666669,1975-1999,10290,212191438,0.12600272826396133
